Timestamp[nanosec],lat[deg],lon[deg],alt[deg]
1666189675826, 43.61565, 7.0670242, 174.59999084472656
1666189677685, 43.61565, 7.0670242, 174.59999084472656
1666189682018, 43.6155999, 7.0669141, 174.59999084472656
1666189683015, 43.6155829, 7.0668929, 174.59999084472656
1666189684023, 43.6155766, 7.066886, 174.59999084472656
1666189685016, 43.6156524, 7.066791, 174.59999084472656
1666189686013, 43.6156704, 7.0667828, 174.59999084472656
1666189687021, 43.6156791, 7.0667909, 174.59999084472656
1666189688011, 43.6156826, 7.0668029, 174.59999084472656
1666189689014, 43.6156829, 7.06681, 174.59999084472656
1666189690011, 43.6156024, 7.0669671, 174.59999084472656
1666189691018, 43.6155938, 7.0669917, 174.59999084472656
1666189692021, 43.6155913, 7.0670002, 174.59999084472656
1666189693020, 43.615654, 7.0669933, 174.59999084472656
1666189694014, 43.6156545, 7.0669946, 174.59999084472656
1666189695018, 43.6156548, 7.0669954, 174.59999084472656
1666189696013, 43.6156537, 7.066994, 174.59999084472656
1666189697024, 43.6156518, 7.066991, 174.59999084472656
1666189698016, 43.6156518, 7.0669909, 174.59999084472656
1666189699023, 43.6156514, 7.0669907, 174.59999084472656
1666189700027, 43.615681, 7.0670427, 174.59999084472656
1666189701017, 43.615683, 7.0670472, 174.59999084472656
1666189702020, 43.6156736, 7.0670211, 174.59999084472656
1666189702781, 43.6156718, 7.0670129, 174.59999084472656
1666189704013, 43.6156698, 7.067002, 174.59999084472656
1666189705018, 43.6156748, 7.0669976, 174.59999084472656
1666189706021, 43.6156797, 7.0669994, 174.59999084472656
1666189707007, 43.615685, 7.0670011, 174.59999084472656
1666189708009, 43.6156873, 7.0670015, 174.59999084472656
1666189709016, 43.6156895, 7.0670022, 174.59999084472656
1666189710030, 43.6157004, 7.0670159, 174.59999084472656
1666189711011, 43.615701, 7.0670178, 174.59999084472656
1666189712027, 43.6157014, 7.0670191, 174.59999084472656
1666189713009, 43.615702, 7.0670199, 174.59999084472656
1666189714019, 43.6157022, 7.0670202, 174.59999084472656
1666189715009, 43.6157024, 7.0670199, 174.59999084472656
1666189716023, 43.6157028, 7.0670198, 174.59999084472656
1666189717018, 43.6157032, 7.0670201, 174.59999084472656
1666189718019, 43.6157034, 7.0670214, 174.59999084472656
1666189719015, 43.6157037, 7.0670235, 174.59999084472656
1666189721031, 43.6157029, 7.0670331, 174.59999084472656
1666189722025, 43.6156948, 7.0670465, 174.59999084472656
1666189723016, 43.6156903, 7.0670534, 174.59999084472656
1666189724013, 43.6156869, 7.0670729, 174.59999084472656
1666189725019, 43.6156868, 7.067062, 174.59999084472656
1666189726008, 43.6156867, 7.0670596, 174.59999084472656
1666189727018, 43.6156868, 7.0670585, 174.59999084472656
1666189728016, 43.6156863, 7.0670572, 174.59999084472656
1666189729010, 43.6156857, 7.0670563, 174.59999084472656
1666189730022, 43.6156856, 7.0670557, 174.59999084472656
1666189731016, 43.6156886, 7.0670606, 174.59999084472656
1666189732025, 43.6157002, 7.0670789, 174.59999084472656
1666189733023, 43.6157108, 7.0670955, 174.59999084472656
1666189734014, 43.6156888, 7.0670626, 174.59999084472656
1666189735002, 43.6156861, 7.0670642, 174.59999084472656
1666189736000, 43.6156852, 7.0670657, 174.59999084472656
1666189736997, 43.6156861, 7.0670675, 174.59999084472656
1666189738019, 43.615687, 7.0670694, 174.59999084472656
1666189739019, 43.6156877, 7.0670701, 174.59999084472656
1666189740015, 43.6156863, 7.0670651, 174.59999084472656
1666189741020, 43.6156844, 7.0670623, 174.59999084472656
1666189742021, 43.6156675, 7.0670215, 174.59999084472656
1666189743010, 43.615647, 7.0669721, 174.59999084472656
1666189744017, 43.6156266, 7.0669233, 174.59999084472656
1666189745030, 43.61561, 7.0668836, 174.59999084472656
1666189746008, 43.6156777, 7.0670514, 174.59999084472656
1666189747015, 43.6156781, 7.0670557, 174.59999084472656
1666189748033, 43.615677, 7.0670561, 174.59999084472656
1666189749025, 43.6156764, 7.0670536, 174.59999084472656
1666189750033, 43.6156766, 7.067052, 174.59999084472656
1666189751021, 43.6156757, 7.0670508, 174.59999084472656
1666189752018, 43.615674, 7.0670487, 174.59999084472656
1666189753022, 43.6156739, 7.0670475, 174.59999084472656
1666189754021, 43.6156752, 7.0670473, 174.59999084472656
1666189755012, 43.615693, 7.0670629, 174.59999084472656
1666189756005, 43.6157025, 7.0670716, 174.59999084472656
1666189757023, 43.6157101, 7.0670787, 174.59999084472656
1666189758007, 43.6157159, 7.0670842, 174.59999084472656
1666189759026, 43.6157193, 7.0670879, 174.59999084472656
1666189760011, 43.6157216, 7.0670908, 174.59999084472656
1666189760712, 43.6157367, 7.0670858, 174.59999084472656
1666189762024, 43.6157362, 7.0670806, 174.59999084472656
1666189762679, 43.6157329, 7.0670787, 174.59999084472656
1666189764028, 43.6157314, 7.0670771, 174.59999084472656
1666189765015, 43.6157309, 7.0670774, 174.59999084472656
1666189766032, 43.615731, 7.0670775, 174.59999084472656
1666189767016, 43.6157309, 7.0670775, 174.59999084472656
1666189768025, 43.615731, 7.0670775, 174.59999084472656
1666189769013, 43.6157313, 7.0670772, 174.59999084472656
1666189771000, 43.6157282, 7.0670711, 174.59999084472656
1666189772027, 43.6157291, 7.0670687, 174.59999084472656
1666189773018, 43.6157298, 7.0670662, 174.59999084472656
1666189773680, 43.6157302, 7.0670654, 174.59999084472656
1666189774325, 43.6157307, 7.0670646, 174.59999084472656
1666189775009, 43.615731, 7.0670641, 174.59999084472656
1666189777026, 43.6157306, 7.0670616, 174.59999084472656
1666189778009, 43.6157297, 7.0670603, 174.59999084472656
1666189779017, 43.6157266, 7.0670568, 174.59999084472656
1666189779630, 43.6157262, 7.0670568, 174.59999084472656
1666189780220, 43.6157257, 7.0670566, 174.59999084472656
1666189780854, 43.6157254, 7.0670563, 174.59999084472656
1666189781427, 43.6157248, 7.0670557, 174.59999084472656
1666189782023, 43.6157243, 7.0670551, 174.59999084472656
1666189782584, 43.6157238, 7.0670545, 174.59999084472656
1666189783228, 43.6157236, 7.0670541, 174.59999084472656
1666189783810, 43.6157235, 7.0670536, 174.59999084472656
1666189784388, 43.6157233, 7.0670529, 174.59999084472656
1666189784935, 43.6157231, 7.0670524, 174.59999084472656
1666189785537, 43.6157186, 7.0670375, 174.5
1666189786027, 43.6157151, 7.0670266, 174.5
1666189786694, 43.6157101, 7.0670118, 174.5
1666189787223, 43.6157065, 7.0670016, 174.5
1666189787793, 43.6157049, 7.0669966, 174.5
1666189788355, 43.6157022, 7.0669892, 174.5
1666189788883, 43.6157008, 7.0669853, 174.5
1666189789482, 43.6156985, 7.066979, 174.5
1666189790014, 43.6156973, 7.0669755, 174.5
1666189790606, 43.6156953, 7.06697, 174.5
1666189791183, 43.615675, 7.0668994, 174.5
1666189791716, 43.6156714, 7.0668835, 174.5
1666189792231, 43.6156683, 7.0668693, 174.5
1666189792796, 43.615667, 7.0668636, 174.5
1666189793349, 43.6156649, 7.066856, 174.5
1666189793930, 43.6156571, 7.0668298, 174.5
1666189794472, 43.6156567, 7.0668262, 174.5
1666189795004, 43.6156564, 7.0668231, 174.5
1666189795571, 43.6156554, 7.0668195, 174.5
1666189796109, 43.6156544, 7.0668164, 174.5
1666189796608, 43.6156538, 7.0668139, 174.5
1666189797151, 43.615653, 7.0668094, 174.5
1666189797672, 43.6156525, 7.0668065, 174.5
1666189798223, 43.6156513, 7.0668019, 174.5
1666189798728, 43.6156506, 7.0667992, 174.5
1666189799274, 43.6156492, 7.0667943, 174.5
1666189799809, 43.6156484, 7.0667912, 174.5
1666189800383, 43.6156306, 7.0667696, 175.29998779296875
1666189800905, 43.6156188, 7.0667572, 175.29998779296875
1666189801482, 43.6156037, 7.0667402, 175.29998779296875
1666189802028, 43.6155979, 7.0667325, 175.29998779296875
1666189802600, 43.6155894, 7.0667205, 175.29998779296875
1666189803174, 43.6155926, 7.0667303, 175.29998779296875
1666189804023, 43.6155993, 7.0667425, 175.29998779296875
1666189805028, 43.6156088, 7.0667559, 175.29998779296875
1666189806015, 43.6156227, 7.0667674, 174.59999084472656
1666189807024, 43.6156288, 7.0667719, 174.59999084472656
1666189808023, 43.6156326, 7.0667739, 174.59999084472656
1666189809020, 43.6156348, 7.0667745, 174.59999084472656
1666189810032, 43.6156373, 7.0667771, 174.59999084472656
1666189811020, 43.6156396, 7.0667802, 174.59999084472656
1666189812025, 43.6156416, 7.0667833, 174.59999084472656
1666189813012, 43.6156432, 7.0667863, 174.59999084472656
1666189813775, 43.6156453, 7.06679, 174.59999084472656
1666189814530, 43.6156472, 7.066792, 174.59999084472656
1666189815027, 43.6156479, 7.0667921, 174.59999084472656
1666189815971, 43.6156414, 7.0667781, 174.59999084472656
1666189816709, 43.6156328, 7.0667618, 174.59999084472656
1666189818024, 43.6156247, 7.0667467, 174.59999084472656
1666189818862, 43.6156201, 7.0667384, 174.59999084472656
1666189819529, 43.6156164, 7.0667319, 174.59999084472656
1666189820017, 43.6156146, 7.0667282, 174.59999084472656
1666189820919, 43.6156113, 7.0667216, 174.59999084472656
1666189822020, 43.6155912, 7.0666754, 174.59999084472656
1666189822924, 43.6155862, 7.0666619, 174.59999084472656
1666189823684, 43.6155832, 7.0666542, 174.59999084472656
1666189825031, 43.6155786, 7.0666426, 174.59999084472656
1666189825773, 43.6155753, 7.0666346, 174.59999084472656
1666189826425, 43.6155721, 7.0666276, 174.59999084472656
1666189827011, 43.6155702, 7.0666233, 174.59999084472656
1666189827811, 43.6155667, 7.0666159, 174.59999084472656
1666189828480, 43.6155636, 7.0666086, 174.59999084472656
1666189829013, 43.615562, 7.066604, 174.59999084472656
1666189829799, 43.6155589, 7.0665947, 174.59999084472656
1666189830421, 43.6155562, 7.0665861, 174.59999084472656
1666189831036, 43.6155608, 7.0665705, 174.09999084472656
1666189831725, 43.6155681, 7.0665551, 174.09999084472656
1666189832422, 43.6155728, 7.0665443, 174.09999084472656
1666189833014, 43.6155748, 7.0665389, 174.09999084472656
1666189833771, 43.6155775, 7.0665285, 174.09999084472656
1666189834490, 43.6155795, 7.066519, 174.09999084472656
1666189835018, 43.6155803, 7.0665136, 174.09999084472656
1666189835823, 43.6155816, 7.0665042, 174.09999084472656
1666189836548, 43.6156001, 7.0664886, 174.59999084472656
1666189837192, 43.615621, 7.0665126, 174.59999084472656
1666189837863, 43.6156307, 7.0665379, 174.59999084472656
1666189838550, 43.6156479, 7.0665751, 174.59999084472656
1666189839010, 43.6156571, 7.0665897, 174.59999084472656
1666189839785, 43.6156737, 7.066617, 174.59999084472656
1666189840452, 43.6156884, 7.0666391, 174.59999084472656
1666189841020, 43.6156964, 7.066648, 174.59999084472656
1666189841750, 43.6157114, 7.0666657, 174.59999084472656
1666189842403, 43.6157222, 7.0666811, 174.59999084472656
1666189843020, 43.6157276, 7.06669, 174.59999084472656
1666189843701, 43.615736, 7.0667057, 174.59999084472656
1666189845020, 43.61575, 7.0667303, 174.59999084472656
1666189845726, 43.6157602, 7.0667467, 174.59999084472656
1666189846418, 43.6157689, 7.0667583, 174.59999084472656
1666189847024, 43.6157743, 7.0667647, 174.59999084472656
1666189847795, 43.6157824, 7.0667739, 174.59999084472656
1666189849022, 43.615799, 7.0667836, 174.5
1666189849839, 43.6158017, 7.0667866, 174.5
1666189850489, 43.6158049, 7.0667919, 174.5
1666189851037, 43.6158077, 7.0667968, 174.5
1666189851910, 43.6158049, 7.0667704, 174.5
1666189852565, 43.6158036, 7.0667623, 174.5
1666189853022, 43.6158051, 7.0667636, 174.5
1666189853895, 43.6158099, 7.0667698, 174.5
1666189854469, 43.6158256, 7.0667886, 174.5
1666189855026, 43.6158272, 7.0667894, 174.5
1666189855712, 43.6158305, 7.066793, 174.5
