Timestamp[nanosec],lat[deg],lon[deg],alt[deg]
1666189667825, 43.6156764, 7.0670356, 174.59999084472656
1666189668242, 43.6156764, 7.0670356, 174.59999084472656
1666189670978, 43.6156705, 7.0670347, 174.59999084472656
1666189671028, 43.6156701, 7.0670331, 174.59999084472656
1666189672053, 43.6156683, 7.0670342, 174.59999084472656
1666189673061, 43.6156664, 7.0670321, 174.59999084472656
1666189674056, 43.6156635, 7.0670301, 174.59999084472656
1666189675051, 43.6156612, 7.0670268, 174.59999084472656
1666189676060, 43.6156586, 7.067027, 174.59999084472656
1666189677054, 43.6156561, 7.0670276, 174.59999084472656
1666189678063, 43.6156552, 7.0670294, 174.59999084472656
1666189679057, 43.6156558, 7.0670301, 174.59999084472656
1666189680052, 43.615657, 7.0670287, 174.59999084472656
1666189681052, 43.615655, 7.0670286, 174.59999084472656
1666189682052, 43.6156555, 7.0670292, 174.59999084472656
1666189683054, 43.615656, 7.067031, 174.59999084472656
1666189684052, 43.6156594, 7.0670349, 174.59999084472656
1666189685055, 43.6156642, 7.0670399, 174.59999084472656
1666189686053, 43.6156687, 7.067044, 174.59999084472656
1666189687055, 43.6156728, 7.0670484, 174.59999084472656
1666189688058, 43.6156744, 7.0670516, 174.59999084472656
1666189689052, 43.6156782, 7.0670556, 174.59999084472656
1666189690046, 43.6156817, 7.067057, 174.59999084472656
1666189691050, 43.6156839, 7.0670578, 174.59999084472656
1666189692050, 43.6156866, 7.0670587, 174.59999084472656
1666189693049, 43.6156866, 7.0670598, 174.59999084472656
1666189694048, 43.6156841, 7.0670598, 174.59999084472656
1666189695062, 43.6156798, 7.0670571, 174.59999084472656
1666189696058, 43.6156774, 7.0670541, 174.59999084472656
1666189697054, 43.6156748, 7.067051, 174.59999084472656
1666189698059, 43.6156733, 7.0670484, 174.59999084472656
1666189699061, 43.6156732, 7.0670449, 174.59999084472656
1666189700054, 43.6156732, 7.0670397, 174.59999084472656
1666189701060, 43.6156741, 7.0670385, 174.59999084472656
1666189702052, 43.6156761, 7.0670383, 174.59999084472656
1666189702775, 43.6156779, 7.0670343, 174.59999084472656
1666189704051, 43.6156804, 7.0670287, 174.59999084472656
1666189705050, 43.6156837, 7.0670269, 174.59999084472656
1666189706050, 43.6156853, 7.0670278, 174.59999084472656
1666189706638, 43.6156865, 7.0670293, 174.59999084472656
1666189708056, 43.6156884, 7.067031, 174.59999084472656
1666189709058, 43.6156885, 7.0670326, 174.59999084472656
1666189710059, 43.6156897, 7.0670394, 174.59999084472656
1666189711048, 43.6156905, 7.0670429, 174.59999084472656
1666189712053, 43.615691, 7.0670449, 174.59999084472656
1666189713053, 43.6156915, 7.0670463, 174.59999084472656
1666189714052, 43.615692, 7.0670474, 174.59999084472656
1666189715054, 43.6156927, 7.067048, 174.59999084472656
1666189716064, 43.6156934, 7.067048, 174.59999084472656
1666189717049, 43.6157004, 7.0670518, 174.59999084472656
1666189718048, 43.615701, 7.0670522, 174.59999084472656
1666189719065, 43.6157014, 7.0670527, 174.59999084472656
1666189720050, 43.615702, 7.0670546, 174.59999084472656
1666189721055, 43.6157028, 7.0670559, 174.59999084472656
1666189722047, 43.6156954, 7.0670515, 174.59999084472656
1666189723054, 43.6156927, 7.0670485, 174.59999084472656
1666189724048, 43.6156945, 7.0670455, 174.59999084472656
1666189725054, 43.6156965, 7.0670417, 174.59999084472656
1666189726050, 43.6156986, 7.0670374, 174.59999084472656
1666189727054, 43.6156991, 7.0670355, 174.59999084472656
1666189728045, 43.6156986, 7.0670342, 174.59999084472656
1666189729053, 43.6156983, 7.0670353, 174.59999084472656
1666189730052, 43.6156988, 7.0670381, 174.59999084472656
1666189731057, 43.6156994, 7.0670412, 174.59999084472656
1666189732051, 43.6156977, 7.0670435, 174.59999084472656
1666189733053, 43.615697, 7.0670435, 174.59999084472656
1666189734045, 43.6156977, 7.0670458, 174.59999084472656
1666189735035, 43.615699, 7.0670491, 174.59999084472656
1666189736034, 43.615701, 7.0670512, 174.59999084472656
1666189737034, 43.6157012, 7.0670513, 174.59999084472656
1666189738066, 43.6156987, 7.0670473, 174.59999084472656
1666189739062, 43.6156975, 7.0670423, 174.59999084472656
1666189740047, 43.6156957, 7.0670388, 174.59999084472656
1666189741044, 43.6156935, 7.067036, 174.59999084472656
1666189742044, 43.6156907, 7.0670318, 174.59999084472656
1666189743052, 43.6156886, 7.0670272, 174.59999084472656
1666189744042, 43.6156866, 7.0670224, 174.59999084472656
1666189745060, 43.6156851, 7.0670203, 174.59999084472656
1666189746072, 43.6156827, 7.0670191, 174.59999084472656
1666189747063, 43.6156847, 7.0670181, 174.59999084472656
1666189748064, 43.6156858, 7.0670167, 174.59999084472656
1666189749048, 43.6156848, 7.0670147, 174.59999084472656
1666189750064, 43.6156822, 7.0670146, 174.59999084472656
1666189751065, 43.6156812, 7.067016, 174.59999084472656
1666189752068, 43.615679, 7.0670184, 174.59999084472656
1666189753044, 43.6156823, 7.0670223, 174.59999084472656
1666189754056, 43.6156836, 7.0670265, 174.59999084472656
1666189755060, 43.6156871, 7.067032, 174.59999084472656
1666189756053, 43.6156895, 7.0670364, 174.59999084472656
1666189757057, 43.6156922, 7.06704, 174.59999084472656
1666189758046, 43.6156947, 7.0670428, 174.59999084472656
1666189759083, 43.6156977, 7.0670445, 174.59999084472656
1666189760046, 43.6157014, 7.067044, 174.59999084472656
1666189761065, 43.6157028, 7.0670432, 174.59999084472656
